Timestamp,1. Age,2. Gender,3. Education,4. Daily internet usage,5. I spend a lot of time online daily,6. I frequently use social media.,"7. I use the internet for study, communication, and entertainment",8. I often use public Wi-Fi,"9. I download software, audio/video/images or files regularly",10. I know the cyber threats,11. I understand risks of unknown links,12. I know how sensitive information can be stolen,13. I know how the social media privacy settings,14. I know strong passwords are important,15. I know public Wi-Fi is risky,16. I know about computer viruses,17. I can spot suspicious messages,18. I know about ecommerce and online transaction,19. I know how to change privacy setting.,"20. I can identify fake software/Apps, websites and weblinks",21. I know how to secure my accounts,22. I know how to protect my personal information,23. I use strong passwords,24. I avoid unknown links.,"25. I don't share OTP, passwords and sensitive information to other",26. I update softwares / apps regularly,27. I use two-factor authentication (2FA) and secure privacy settings,28. I log-out the account from shared devices,29. I avoid unsafe downloads,30. I use antivirus and secure VPN,31. I share cyber knowledge to people who don't know about it.,"32. Even if I know risks, I ignore them.",33. I keep same password on multiple platforms,34. I click on links without checking them,35. I accept terms and conditions of software/apps without studying properly,36. Cybersecurity is not important for me,37. I receive suspicious messages or links,"38. I have faced cyber risks (fraud, scams, hacking)",39. Cyber incidents affected me or someone I know,40. I feel unsafe using the internet sometimes,41. Cybersecurity awareness is important,College name,Faculty,Scheme
02/05/2026 06:13:58,18,Female,11th,0-2 Hours,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Neutral,Strongly Agree,Alliance,Management,Non-Technical
02/05/2026 06:16:08,18,Male,11th,4-6 Hours,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Neutral,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Neutral,Disagree,Agree,,Disagree,Disagree,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Agree,Strongly Agree,Disagree,Agree,Alliance,Management,Non-Technical
02/05/2026 06:18:32,18,Male,11th,2-4 Hours,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Alliance,Management,Non-Technical
02/05/2026 06:20:29,18,Male,11th,2-4 Hours,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Alliance,Management,Non-Technical
02/05/2026 06:23:06,19,Male,11th,4-6 Hours,Neutral,Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly disagree,Disagree,Agree,Neutral,Strongly agree,Agree,Alliance,Management,Non-Technical
02/05/2026 06:25:38,16,Male,11th,More than 6 Hours,Agree,Agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly agree,Agree,Agree,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly Agree,Stongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Agree,Neutral,Strongly Agree,Alliance,Management,Non-Technical
02/05/2026 06:28:05,16,Male,11th,2-4 Hours,Neutral,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly disagree,Neutral,Strongly Agree,Neutral,Disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Neutral,Agree,Strongly Agree,Strongly disagree,Disagree,Neutral,Agree,Strongly disagree,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Alliance,Management,Non-Technical
02/05/2026 06:30:25,18,Male,11th,4-6 Hours,Strongly agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Strongly agree,Strongly Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
02/05/2026 06:33:00,18,Female,11th,0-2 Hours,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Alliance,Management,Non-Technical
02/05/2026 06:34:54,18,Male,11th,4-6 Hours,Strongly agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Strongly agree,Strongly Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
02/05/2026 06:43:38,16,Male,11th,0-2 Hours,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Nawajeewan,Health Science,Technical
02/05/2026 07:49:27,16,Male,11th,0-2 Hours,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Nawajeewan,Health Science,Technical
02/05/2026 07:51:38,20,Female,12th,2-4 Hours,Strongly agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Stongly disagree,Agree,Neutral,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Strongly Agree,Disagree,Neutral,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Neutral,Agree,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 07:53:42,18,Female,12th,2-4 Hours,Neutral,Neutral,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Neutral,Agree,Agree,Strongly Agree,Strongly agree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 08:01:11,19,Female,11th,4-6 Hours,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 08:41:55,20,Female,12th,4-6 Hours,Disagree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 08:46:17,20,Female,12th,4-6 Hours,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 08:49:34,20,Male,12th,More than 6 Hours,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 08:51:29,20,Female,12th,2-4 Hours,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Disagree,Disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Nawajeewan,Health Science,Technical
02/05/2026 08:53:01,19,Female,11th,4-6 Hours,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,Disagree,Agree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 08:55:15,20,Female,12th,4-6 Hours,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly Agree,Neutral,Strongly agree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Agree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 08:57:18,20,Female,12th,2-4 Hours,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 08:59:24,18,Female,11th,2-4 Hours,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:02:07,19,Female,11th,2-4 Hours,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:04:06,20,Female,12th,4-6 Hours,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,,Disagree,Disagree,Agree,Neutral,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:07:07,19,Male,12th,2-4 Hours,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:10:47,20,Female,12th,2-4 Hours,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly disagree,Neutral,Nawajeewan,Health Science,Technical
02/05/2026 09:23:26,19,Female,12th,More than 6 Hours,Strongly agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly agree,Strongly Agree,Strongly disagree,Strongly disagree,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:26:10,17,Female,11th,4-6 Hours,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:28:37,20,Female,12th,2-4 Hours,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:30:05,17,Female,12th,2-4 Hours,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:32:45,20,Female,12th,2-4 Hours,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,,Disagree,Disagree,Disagree,Strongly Agree,Strongly disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:35:11,18,Female,11th,4-6 Hours,Neutral,Agree,Agree,Strongly disagree,Agree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:37:12,18,Female,12th,4-6 Hours,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Disagree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:46:20,19,Female,12th,More than 6 Hours,Strongly agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly Agree,Agree,Strongly agree,Agree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:48:02,20,Female,12th,4-6 Hours,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Strongly Agree,Strongly agree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:50:03,20,Female,12th,2-4 Hours,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Agree,Agree,Agree,Agree,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:52:10,19,Female,12th,2-4 Hours,Agree,Neutral,Strongly Agree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Nawajeewan,Health Science,Technical
02/05/2026 09:55:01,20,Female,12th,2-4 Hours,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,,Nawajeewan,Health Science,Technical
02/05/2026 09:57:04,17,Male,11th,4-6 Hours,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Strongly Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Nawajeewan,Health Science,Technical
02/05/2026 09:59:08,17,Male,11th,2-4 Hours,Neutral,Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Nawajeewan,Health Science,Technical
02/05/2026 10:17:18,17,Female,11th,2-4 Hours,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Nawajeewan,Health Science,Technical
02/05/2026 10:18:58,17,Female,11th,2-4 Hours,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Nawajeewan,Health Science,Non-Technical
02/05/2026 16:17:01,18,Female,11th,2-4 Hours,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly Agree,Alliance,General Management,Non-Technical
02/05/2026 16:19:07,17,Female,11th,4-6 Hours,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly Agree,Alliance,General Management,Non-Technical
02/05/2026 16:25:20,17,Male,11th,2-4 Hours,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Alliance,General Management,Non-Technical
02/05/2026 16:30:14,19,Male,11th,2-4 Hours,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Agree,Alliance,General Management,Non-Technical
02/05/2026 16:32:44,19,Male,11th,4-6 Hours,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Disagree,Neutral,Agree,Strongly Agree,Alliance,General Management,Non-Technical
03/05/2026 20:26:06,17,Female,11th,2-4 Hours,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly disagree,Agree,Agree,Neutral,Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Nawajeewan,Health Science,Technical
03/05/2026 20:27:39,17,Male,11th,2-4 Hours,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Strongly Agree,Agree,Strongly agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Agree,Nawajeewan,Health Science,Technical
03/05/2026 20:29:31,20,Male,12th,2-4 Hours,Neutral,Neutral,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Nawajeewan,Health Science,Technical
03/05/2026 20:31:48,17,Female,12th,2-4 Hours,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Nawajeewan,Health Science,Technical
03/05/2026 20:33:29,17,Male,11th,0-2 Hours,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Agree,Nawajeewan,Health Science,Technical
03/05/2026 20:35:33,17,Female,11th,4-6 Hours,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Disagree,Neutral,Strongly disagree,Agree,Neutral,Disagree,Strongly agree,Strongly Agree,Nawajeewan,Health Science,Technical
03/05/2026 20:38:28,16,Female,11th,2-4 Hours,Neutral,Neutral,Agree,Disagree,Strongly disagree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Strongly disagree,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly Agree,Nawajeewan,Health Science,Technical
03/05/2026 20:40:23,16,Male,11th,More than 6 Hours,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Strongly Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,,Strongly disagree,Nawajeewan,Health Science,Technical
